feature,weight
other:power,0.049
other:n_colored_symbols,0.03
other:toughness,0.025
nlp:tfidf__spell pay {1},0.015
other:types_Sorcery,0.014
nlp:tfidf__less cast each,0.012
other:cost_X,0.012
other:subtypes_Equipment,0.011
nlp:tfidf__cardnam power tough,0.01
other:subtypes_Aura,0.008
nlp:tfidf__your hand pay,0.007
nlp:tfidf__cast spell pay,0.007
nlp:tfidf__may pay addit,0.007
nlp:tfidf__spell cost {1},0.007
nlp:tfidf__enter battlefield creat,0.007
nlp:tfidf__. you you,0.006
nlp:tfidf__mana cost .,0.006
nlp:tfidf__without pay mana,0.006
nlp:tfidf__-2/-2 end turn,0.006
other:loyalty,0.006
nlp:tfidf__mana spent cast,0.006
nlp:tfidf__life total becom,0.006
nlp:tfidf__onto battlefield your,0.005
other:types_Instant,0.005
nlp:tfidf__put onto battlefield,0.005
nlp:tfidf__target creatur you,0.005
nlp:tfidf__. you choos,0.005
nlp:tfidf__sacrific ani number,0.005
nlp:tfidf__target player discard,0.005
nlp:tfidf__target creatur get,0.005
nlp:tfidf__sacrific cardnam :,0.005
nlp:tfidf__tough each equal,0.005
nlp:tfidf__may return target,0.005
nlp:tfidf__pay spell mana,0.005
nlp:tfidf__battlefield two +1/+1,0.004
nlp:tfidf__cast spell discard,0.004
nlp:tfidf__creatur get +1/+0,0.004
nlp:tfidf__target card graveyard,0.004
nlp:tfidf__draw card each,0.004
nlp:tfidf__you may reveal,0.004
nlp:tfidf__cast your hand,0.004
nlp:tfidf__your hand you,0.004
other:n_colors,0.004
nlp:tfidf__deal 5 damag,0.004
nlp:tfidf__ani number creatur,0.004
nlp:tfidf__{1} . ),0.004
nlp:tfidf__attack . ),0.004
nlp:tfidf__take extra turn,0.004
nlp:tfidf__perman . &,0.004
nlp:tfidf__new target copi,0.004
nlp:tfidf__enter battlefield tap,0.004
nlp:tfidf__creatur token each,0.004
nlp:tfidf__target creatur gain,0.004
other:supertypes_Legendary,0.004
nlp:tfidf__choos one &,0.004
nlp:tfidf__attack block unless,0.004
nlp:tfidf__{x} {t} :,0.004
nlp:tfidf__cast without pay,0.004
nlp:tfidf__put creatur card,0.004
nlp:tfidf__artifact creatur end,0.003
nlp:tfidf__sacrific unless you,0.003
nlp:tfidf__draw three card,0.003
nlp:tfidf__fli & cardnam,0.003
nlp:tfidf__player life total,0.003
nlp:tfidf__& you cycl,0.003
nlp:tfidf__creatur . (,0.003
nlp:tfidf__creatur token fli,0.003
nlp:tfidf__put quest counter,0.003
nlp:tfidf__each artifact you,0.003
nlp:tfidf__fli & whenev,0.003
nlp:tfidf__token . (,0.003
nlp:tfidf__-1/-1 counter cardnam,0.003
nlp:tfidf__target land .,0.003
nlp:tfidf__whenev you cast,0.003
nlp:tfidf__each basic land,0.003
nlp:tfidf__draw seven card,0.003
nlp:tfidf__creatur token .,0.003
nlp:tfidf__& cardnam get,0.003
nlp:tfidf__cardnam deal 7,0.003
nlp:tfidf__enter battlefield x,0.003
nlp:tfidf__enter battlefield sacrific,0.003
nlp:tfidf__{t} : add,0.003
nlp:tfidf__cardnam deal 6,0.003
nlp:tfidf__your untap step,0.003
nlp:tfidf__deal 4 damag,0.003
nlp:tfidf__creatur . can't,0.003
nlp:tfidf__maximum hand size,0.003
nlp:tfidf__counter cardnam each,0.003
nlp:tfidf__cost . ),0.003
nlp:tfidf__card : search,0.003
nlp:tfidf__green beast creatur,0.003
nlp:tfidf__cardnam can't attack,0.003
nlp:tfidf__charg counter .,0.003
nlp:tfidf__{1} {t} :,0.003
nlp:tfidf__you control enchant,0.003
nlp:tfidf__& long your,0.003
nlp:tfidf__( two energi,0.003
nlp:tfidf__defend ( creatur,0.002
